Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000,
294,607,1018,1100,1398,1722,1731,2337,2709,3128,3291,3573,4032,4024,4810,4959,5496,5629,5952,6586,6698,7097,7386,8229,8105,11098,8907,9760,9448,10043,10700,10608,11738,11646,12207,12224,12978,13231,14484,13844,14847,15239,15163,15904,15963,16617,17137,17398,17881,18448,18515,21126,19313,19765,20170,20383,20843,21478,21808,21857,23001,22865,23003,23687,24260,24859,25293,25601,25788,28941,27134,27392,27766,27539,28139,30351,30908,30974,29721,30626,50089,32235,32497,33189,32557,34693,33799,34434,34407,35307,36746,36807,37069,37940,38211,37979,38197,38387,39752,40288,
251,577,914,1123,1414,1685,1892,2469,2682,3257,3294,3453,4016,4277,4730,5031,5147,5788,6198,6400,6863,7356,7700,40152,8270,29652,9136,9712,9597,10214,10219,11046,12343,11474,12206,12545,13451,13334,14837,14037,14324,14945,15291,15981,16261,17066,17045,17238,17642,18360,18466,20687,19379,19570,48500,20666,21087,21665,21954,21820,25074,23317,24071,23984,24354,24611,24802,25804,25992,26043,26856,27459,27842,27934,28361,30151,30623,30718,30200,31037,30421,32697,32347,33022,32545,34446,33143,34141,34644,35437,36467,36432,36882,38671,37849,37907,38244,38808,40042,39603,
211,618,1026,1154,1473,1500,1814,2335,2968,3074,3083,3520,4090,4140,4600,5003,5384,5628,6327,6346,6858,7540,7705,7941,8115,9300,9556,9787,9528,10326,10426,10794,11822,11374,12138,12493,12819,13357,14792,14050,14554,15162,15289,15625,16533,16992,17034,17419,17863,18561,18559,20962,41240,19807,21729,20728,20661,21569,21718,22274,46349,23107,23641,23955,24659,25339,25471,25724,25953,26830,27253,27200,28223,28007,28567,30389,30874,30999,29899,30932,31016,32821,32112,33348,32814,34898,33973,34154,34321,35829,35810,36667,36331,38967,37423,37769,40856,38658,39368,39938,
172,582,900,1095,1415,1528,1974,2238,2727,3247,3420,3779,4301,4342,4563,4770,5506,5769,5600,6396,6923,8866,7653,7738,8449,9507,8739,9371,9624,10187,10590,11113,12294,11941,12019,12457,12990,13352,14472,14244,14590,15204,15364,15854,16165,16780,16678,17561,41529,18551,18659,20577,20786,19444,37909,20930,21046,21609,21380,22387,35638,23197,23900,24116,24558,25018,25093,25257,26005,26567,27180,27148,28107,51584,27981,30064,31304,30334,30086,30478,31321,31987,32712,32840,32940,34291,34113,34324,34321,36030,36337,36622,36668,38801,37477,38217,38369,37770,39162,39748,
236,659,1021,1085,1349,1508,2097,2350,2757,3135,3419,3600,4129,4325,4479,4964,5111,5508,5893,6389,6692,7004,7554,7773,8475,22496,9074,9250,9453,9809,10549,10840,12552,11691,12094,15482,13113,13286,14877,14160,14653,14766,15183,16111,16146,17097,16849,17473,18731,18099,18817,51459,38075,19590,44602,20261,21212,21462,21882,22112,22643,22820,24023,24715,24684,24942,25646,25699,26081,26440,26635,27304,27597,42152,29060,33177,30908,30816,29745,30962,31232,34450,32800,33548,35080,34774,33475,33868,34495,35878,35971,37108,37103,37885,37790,37318,38830,38626,39528,39706,
192,657,1049,14823,1489,1636,1858,2289,2645,16716,3094,3510,4291,4265,4390,5069,5176,5920,5962,6477,6663,7133,7851,7915,8426,8835,8978,9365,9706,10393,10569,10971,12147,12038,12292,31433,13165,13081,14754,13782,14520,14552,15331,15413,16148,16481,16988,17702,30793,18114,18326,31001,18833,19559,21647,20697,20979,21680,21465,22327,22722,23486,24328,24165,24131,24518,25484,25379,25966,26372,26806,26973,27415,28441,28572,44983,30732,32900,30352,30998,30950,32484,32973,33107,32386,34438,33906,33869,34622,35720,36163,36523,37163,41075,37971,37450,38421,38141,39679,40195,
211,540,1022,1020,1542,1700,1820,2218,2873,2776,3191,3705,8410,4103,4533,4900,5334,5747,5997,6743,6762,7499,7430,7813,8071,8751,9053,9554,9716,9984,10655,10898,16467,11616,12315,13805,12968,13510,14804,13989,14645,14825,15321,15798,16058,16648,16697,17518,17660,18459,18258,37413,37896,19616,41023,20948,21121,21504,21092,22373,22723,46147,23800,24292,24086,24701,25585,24996,26461,26369,26739,27364,27449,28190,28793,30359,46192,32053,29996,30817,31107,31979,32883,33344,32805,34495,33282,33931,34922,35145,36148,36421,38045,38087,38520,37583,38648,38384,39639,40597,
249,564,748,1069,1271,1730,1925,2331,2920,2846,3199,3443,4078,4277,4555,4777,5303,5641,6041,6546,6719,7617,7504,8056,8065,8484,8739,9712,9968,10079,10364,10844,12719,11792,12051,13571,12918,13229,14886,13818,14541,15168,15015,15919,16328,16490,16808,17302,17754,18071,18754,18824,41692,20185,19789,20377,21364,21633,21964,22479,22459,25203,24227,24348,23967,24567,25850,26102,26398,26302,26913,27302,27681,28013,28478,29181,30075,44394,30344,30588,31156,32591,32582,33180,32642,34622,33613,34493,34176,35734,35934,36794,36974,38461,38536,37284,38994,37886,39538,40170,
226,537,680,986,1405,1744,1933,2145,2600,2806,3205,3537,4029,4286,4633,4828,5425,5465,6338,6316,6683,8391,7558,7823,8201,8631,8943,9184,10017,9838,10365,10711,12398,11660,12186,13373,12464,13388,15056,14316,14641,14972,15468,16094,15949,16895,16608,17374,17247,18306,18652,19158,20821,19423,20347,20767,21283,22064,21654,22183,22310,36208,24208,24127,23979,24978,25176,26055,26032,26440,26595,27306,27162,28076,28528,29615,30142,30881,30102,30501,31154,32243,32745,33594,32615,34177,33111,34200,34580,36228,36420,36414,36811,38906,37553,37575,38434,63495,39456,40309,
181,538,773,943,1341,1597,2044,2343,2818,2832,3202,3612,4226,4348,4567,4904,5358,5612,5914,6533,6862,7088,7483,7716,8339,8516,9090,9151,9944,10396,10651,10969,12094,11812,12296,26616,12990,13105,14731,14210,14484,15106,15354,15738,16328,16646,16966,17592,17865,18224,18335,18893,36694,19055,20231,20553,20856,21797,21302,22300,22464,23198,24002,23918,23850,26999,25295,25645,26250,26472,26854,26892,27628,28455,28794,29940,29969,31091,30632,30963,31227,32159,33056,33311,32521,36844,34111,34412,34360,35749,36644,36702,38982,51645,38908,37425,38701,51582,38806,40052,
