Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000,
163,382,604,860,1136,1329,1731,1859,2211,2417,2734,3068,3362,3738,4412,4619,5037,4813,5631,5687,5850,7743,6541,6822,7301,7456,7694,8007,9245,8667,8858,10092,9590,9910,10461,10867,11167,10634,11535,12237,11859,12927,13142,13066,13654,13793,14398,14272,14645,15111,16070,15624,16130,16875,16595,20969,19074,19422,17998,17682,19027,20249,19039,19061,20279,44418,20350,20794,46315,24056,21724,23702,40666,22647,24007,23536,23760,24494,25346,24536,25027,25393,25792,25426,26990,26901,28565,28086,29028,27581,28365,29417,29692,29877,29962,30769,30031,30996,30877,31529,
157,372,581,847,1211,1395,1665,2063,2316,2518,2871,3233,3486,3793,4264,4651,4807,4881,5839,5816,5797,6487,6680,6719,7113,7364,7982,7903,8781,8336,9275,9982,9437,9809,10438,10589,11022,11230,12093,11700,11646,12361,12679,13071,13103,13739,14181,14203,14728,15330,15800,16011,15799,15968,17151,19937,18370,18935,18657,18109,18433,33202,19408,19017,19696,21792,20488,20717,22962,40506,22100,40141,22609,22599,23073,23027,23916,23677,26850,24713,23887,25573,25676,25768,26732,26838,27065,27263,29002,28140,28740,28027,28822,29628,58722,30352,30291,32016,30507,30266,
127,315,557,894,1122,1348,1639,1964,2182,2411,2788,3235,3541,3605,4419,4678,4711,4964,5976,5586,5740,6350,6423,6693,7276,7589,7540,8232,9098,8789,9299,23792,9808,10160,10171,10567,11050,11067,11644,12054,11927,12920,12703,13701,13451,13604,14189,14250,14600,15240,15239,15311,15527,16488,17256,21981,18638,19141,18406,18104,18643,19036,18412,19311,20342,34566,20141,21306,39107,21923,21958,24505,21639,22915,24008,23771,23372,24219,25468,50934,24930,25890,26513,26019,26940,26842,27331,27960,28586,27745,28696,28247,28734,29540,50063,29831,56033,30435,30250,31036,
148,343,629,960,1106,1359,1682,1940,2300,2583,2703,3022,3480,3934,4644,4861,4428,4757,6049,5385,5772,6225,6689,7081,7404,7640,7871,7979,22427,8748,8979,9489,9863,9813,10176,10821,10893,13344,12040,12066,11893,12503,12962,13641,13749,13382,14279,14473,14595,14914,15505,19601,15506,18886,16774,22358,18672,19315,18138,18561,17926,18814,19246,19689,19625,19875,20259,20075,20832,21097,21789,23283,55077,22152,23416,22930,23530,24295,24336,42313,24596,25461,25677,25859,26542,55623,28983,28111,27997,28501,28284,27788,29838,29718,30219,29159,31873,30866,33672,31339,
168,292,590,876,1169,1376,1581,1946,2140,2483,2610,3079,3546,3798,4646,4727,4635,4955,5881,5703,5718,6231,6510,6978,7168,7644,7538,8180,8226,8520,9072,9375,9512,10227,10350,10537,11109,11379,11341,12048,12468,12338,12527,13223,14159,14013,15864,14164,14416,14967,15565,15560,15954,16321,16978,22037,18718,18641,17788,18424,19022,18725,19061,20039,44016,20225,20110,20883,21307,21818,21986,41140,22168,23094,23847,23366,23489,23671,24746,24964,24889,24726,25358,26671,27239,39819,28487,27802,28185,28598,28385,28570,29672,28381,29889,30125,46869,30688,78242,31481,
144,335,640,859,1155,1391,1604,1869,2277,2578,2855,3165,3438,3731,4356,4691,4979,5002,5322,5470,5680,7432,6518,6879,7063,7108,8110,7805,8634,9054,8792,9325,9593,10031,10409,10921,11154,10985,11338,12057,12169,12841,13175,13211,13540,13617,14024,14105,14820,15312,15816,16255,15469,16881,16655,21271,18769,32545,17902,18253,18325,18846,19467,21822,21853,39244,20457,20387,21549,21884,22406,21790,22193,22909,22134,23720,23790,23903,24821,24807,24956,25250,25194,26434,27061,39320,27465,28480,28789,28556,28391,28447,28832,28293,29260,29384,30190,31910,31646,31609,
152,390,667,853,1109,1433,1719,1795,2228,2593,2794,3338,3480,3889,4419,4650,4635,4811,18093,5472,5940,7444,6774,6749,7164,7414,7633,7886,8429,8735,9117,9339,9735,9899,10638,10765,11498,10944,11427,12129,12259,14660,12969,12923,13751,14157,13999,13897,15179,15252,15579,15763,15487,16058,35942,22524,18495,39705,18050,17952,17734,19223,19054,18650,20943,38464,20544,21061,21335,21011,22251,22393,21845,22872,23420,23916,23868,24014,24945,26016,24923,24880,25868,26015,27387,27178,28437,28209,28432,28927,28769,28304,30016,29469,28708,29428,30319,31647,29764,31208,
148,382,634,781,1158,1382,1621,2060,2368,2634,2915,3282,3483,3849,4509,4705,4826,5045,5300,5491,6048,6235,6570,6906,7196,7454,7956,7994,8342,8745,9182,9320,9928,10287,10247,10716,11104,11154,11506,11605,12269,34197,12988,13520,13413,13693,13973,14444,15230,15049,15540,15614,16137,16176,18268,21329,18280,19171,17911,18725,18678,19386,18953,19370,59418,34479,20125,21009,22417,21499,22136,24888,22104,22019,49877,23317,24373,24980,24884,24737,24742,25073,25723,25550,27882,27043,27738,27776,28705,28225,28356,28555,29128,29177,30451,29384,30210,32672,30887,33553,
137,381,577,850,1090,1423,1765,1858,2324,2696,2948,3047,3386,3735,4246,4983,4592,4979,5338,5562,5919,6180,6740,6756,7429,7520,7859,8457,8382,8760,8833,9605,9732,10099,10532,10622,10704,11299,11427,12182,12469,13433,12345,13108,13892,13763,14294,15001,14907,15288,15636,15838,15993,16619,17871,20529,18714,18348,17841,18536,18143,18776,18940,19839,21096,21119,20773,20932,21286,21376,21911,22881,22381,22853,25439,23551,50640,24748,24806,24587,24876,25204,25556,26405,27198,27430,27404,28056,27925,28583,28134,28285,29489,29692,30073,29484,30321,31332,29955,53865,
148,327,573,912,1097,1373,1753,1911,2186,2358,2603,3207,3450,3901,4310,4561,4606,4814,5265,5649,5706,6667,6461,7198,6946,7266,7943,8291,8631,8977,8932,9260,9719,9574,10467,10442,10848,11156,11167,11793,12314,27180,12757,13307,13469,13976,13593,14167,14691,15344,15023,15082,15989,15734,18238,20870,18956,31420,17799,18676,18567,18254,19337,19224,37144,20404,19886,20536,21248,21135,21721,23462,22154,23152,39862,23216,41267,24084,24576,24330,25179,25147,25891,25247,27668,27348,28029,27972,28005,28910,27997,28558,29264,29771,30153,29961,30125,31778,30202,44442,
